#./test/main/nbody-simulation --engine=block \
#--solver=rkdp --stars_count=256 --verbose=1 --block_size=32 --max_time=300 \
#--max_step=1e-4 \
#--min_step=1e-9 \
#--check_step=0.3 \
#--dump_step=0.03 \
#--error_threshold=1e-6 \
#--check_list=PLVE \
#--output=nbody/512-300-1e-4-rkdp 2>nbody512-300-1e-4-rkdp.txt
T	CC	SC	dP	dL	dE
72.3	8548456	24248	2.902E-06	6.329E-09	1.867E-08
72.6	8572592	24136	2.9E-06	6.328E-09	1.867E-08
72.9	8593592	21000	2.9E-06	6.329E-09	1.867E-08
73.2	8620864	27272	2.901E-06	6.329E-09	1.868E-08
73.5	8673616	52752	2.903E-06	6.335E-09	1.867E-08
73.8	8723064	49448	2.904E-06	6.338E-09	1.867E-08
74.1	8744064	21000	2.906E-06	6.338E-09	1.867E-08
74.4	8765064	21000	2.909E-06	6.339E-09	1.867E-08
74.7	8786064	21000	2.909E-06	6.339E-09	1.867E-08
75	8807064	21000	2.91E-06	6.335E-09	1.866E-08
75.3	8859032	51968	2.91E-06	6.338E-09	1.869E-08
75.6	8880032	21000	2.911E-06	6.339E-09	1.869E-08
75.9	8907136	27104	2.91E-06	6.338E-09	1.869E-08
76.2	8928136	21000	2.912E-06	6.338E-09	1.869E-08
76.5	8949136	21000	2.914E-06	6.339E-09	1.869E-08
76.8	9012304	63168	2.912E-06	6.347E-09	1.87E-08
77.1	9062984	50680	2.907E-06	6.338E-09	1.869E-08
77.4	9083984	21000	2.911E-06	6.34E-09	1.869E-08
77.7	9117304	33320	2.908E-06	6.34E-09	1.87E-08
78	9138304	21000	2.912E-06	6.343E-09	1.869E-08
78.3	9159304	21000	2.912E-06	6.344E-09	1.869E-08
78.6	9186632	27328	2.911E-06	6.345E-09	1.87E-08
78.9	9235464	48832	2.91E-06	6.332E-09	1.87E-08
79.2	9256464	21000	2.912E-06	6.334E-09	1.87E-08
79.5	9283400	26936	2.918E-06	6.338E-09	1.871E-08
79.8	9320584	37184	2.917E-06	6.339E-09	1.871E-08
80.1	9341584	21000	2.92E-06	6.341E-09	1.871E-08
80.4	9362584	21000	2.919E-06	6.339E-09	1.87E-08
80.7	9408392	45808	2.91E-06	6.335E-09	1.871E-08
81	9429392	21000	2.909E-06	6.335E-09	1.869E-08
81.3	9450392	21000	2.916E-06	6.336E-09	1.869E-08
81.6	9509192	58800	2.923E-06	6.341E-09	1.871E-08
81.9	9530192	21000	2.922E-06	6.341E-09	1.87E-08
82.2	9555952	25760	2.922E-06	6.343E-09	1.869E-08
82.5	9602768	46816	2.931E-06	6.341E-09	1.87E-08
82.8	9623768	21000	2.93E-06	6.338E-09	1.869E-08
83.1	9660728	36960	2.929E-06	6.337E-09	1.869E-08
83.4	9687384	26656	2.93E-06	6.339E-09	1.869E-08
83.7	9714656	27272	2.934E-06	6.345E-09	1.87E-08
84	9752456	37800	2.934E-06	6.348E-09	1.871E-08
84.3	9773456	21000	2.932E-06	6.348E-09	1.871E-08
84.6	9794456	21000	2.936E-06	6.349E-09	1.871E-08
84.9	9815456	21000	2.947E-06	6.351E-09	1.871E-08
85.2	9842224	26768	2.933E-06	6.348E-09	1.87E-08
85.5	9863224	21000	2.93E-06	6.349E-09	1.87E-08
85.8	9916816	53592	2.922E-06	6.346E-09	1.869E-08
86.1	9942296	25480	2.915E-06	6.341E-09	1.869E-08
86.4	9967776	25480	2.916E-06	6.34E-09	1.869E-08
86.7	10005016	37240	2.901E-06	6.33E-09	1.869E-08
87	10032344	27328	2.897E-06	6.331E-09	1.87E-08
87.3	10067568	35224	2.901E-06	6.333E-09	1.869E-08
87.6	10134488	66920	2.887E-06	6.315E-09	1.868E-08
87.9	10169824	35336	2.881E-06	6.317E-09	1.863E-08
88.2	10213504	43680	2.882E-06	6.325E-09	1.869E-08
88.5	10234504	21000	2.882E-06	6.327E-09	1.864E-08
88.8	10261104	26600	2.888E-06	6.325E-09	1.866E-08
89.1	10282104	21000	2.891E-06	6.326E-09	1.87E-08
89.4	10324104	42000	2.886E-06	6.314E-09	1.864E-08
89.7	10345104	21000	2.893E-06	6.314E-09	1.865E-08
90	10366104	21000	2.893E-06	6.309E-09	1.861E-08
90.3	10387104	21000	2.895E-06	6.311E-09	1.86E-08
90.6	10408104	21000	2.884E-06	6.311E-09	1.863E-08
90.9	10429104	21000	2.883E-06	6.31E-09	1.865E-08
91.2	10450104	21000	2.878E-06	6.307E-09	1.863E-08
91.5	10483928	33824	2.885E-06	6.314E-09	1.86E-08
91.8	10520888	36960	2.881E-06	6.312E-09	1.861E-08
92.1	10541888	21000	2.879E-06	6.31E-09	1.861E-08
92.4	10568152	26264	2.884E-06	6.316E-09	1.862E-08
92.7	10589152	21000	2.885E-06	6.313E-09	1.861E-08
93	10610152	21000	2.894E-06	6.32E-09	1.861E-08
93.3	10631152	21000	2.898E-06	6.323E-09	1.862E-08
93.6	10652152	21000	2.9E-06	6.32E-09	1.86E-08
93.9	10679592	27440	2.896E-06	6.315E-09	1.861E-08
94.2	10737888	58296	2.896E-06	6.316E-09	1.857E-08
94.5	10758888	21000	2.896E-06	6.314E-09	1.857E-08
94.8	10785880	26992	2.9E-06	6.315E-09	1.859E-08
95.1	10806880	21000	2.911E-06	6.32E-09	1.858E-08
95.4	10833984	27104	2.914E-06	6.32E-09	1.858E-08
95.7	10854984	21000	2.91E-06	6.319E-09	1.858E-08
96	10875984	21000	2.913E-06	6.321E-09	1.858E-08
96.3	10903480	27496	2.913E-06	6.324E-09	1.858E-08
96.6	10963792	60312	2.902E-06	6.314E-09	1.867E-08
96.9	10990840	27048	2.908E-06	6.315E-09	1.867E-08
97.2	11011840	21000	2.906E-06	6.311E-09	1.866E-08
97.5	11032840	21000	2.912E-06	6.314E-09	1.866E-08
97.8	11053840	21000	2.915E-06	6.318E-09	1.866E-08
98.1	11080832	26992	2.92E-06	6.319E-09	1.866E-08
98.4	11101832	21000	2.921E-06	6.318E-09	1.866E-08
98.7	11129328	27496	2.916E-06	6.317E-09	1.866E-08
99	11551232	421904	1.763E-06	6.057E-09	8.178E-10
99.3	11572232	21000	1.763E-06	6.058E-09	8.205E-10
99.6	11599504	27272	1.763E-06	6.057E-09	8.222E-10
99.9	11620504	21000	1.76E-06	6.055E-09	8.226E-10
100.2	11641504	21000	1.758E-06	6.052E-09	8.168E-10
100.5	11662504	21000	1.757E-06	6.051E-09	8.173E-10
100.8	11683504	21000	1.754E-06	6.049E-09	8.219E-10
101.1	11711000	27496	1.757E-06	6.049E-09	8.24E-10
101.4	11741016	30016	1.759E-06	6.049E-09	8.203E-10
101.7	12612712	871696	2.107E-06	7.08E-09	4.072E-08
102	12633712	21000	2.106E-06	7.08E-09	4.073E-08
102.3	12654712	21000	2.106E-06	7.081E-09	4.072E-08
102.6	12675712	21000	2.105E-06	7.08E-09	4.073E-08
102.9	12696712	21000	2.107E-06	7.081E-09	4.073E-08
103.2	12717712	21000	2.108E-06	7.081E-09	4.073E-08
